栅格ID,小区ID,天线水平倾斜角,天线垂直倾斜角,距离,天线高度,RSRP
785,481347_101520,17854861,328,353,231,26,-105
332,481353_101495,125890571,108,139,140,25,-111
3087,481420_101547,125931787,33,351,1909,29,-81
3243,481396_101601,125890571,286,346,2696,25,-94
1625,481362_101517,125931787,37,355,375,29,-90
3208,481417_101534,125890330,198,170,2373,32,-98
2066,481376_101500,125890571,354,348,472,25,-110
2455,481374_101518,125931787,45,353,644,29,-101
426,481349_101517,17854861,346,355,162,26,-118
1356,481366_101491,125890571,36,350,331,25,-120
327,481353_101512,17854861,47,2,139,26,-115
2614,481389_101489,125890571,13,346,820,25,-106
2705,481382_101530,125931787,31,352,936,29,-103
1294,481354_101522,17854861,1,350,321,26,-98
1407,481322_101539,125932299,296,352,339,25,-99
1077,481305_101555,125890330,37,359,283,32,-99
13,481355_101501,125890571,249,107,37,25,-103
2984,481408_101541,125931787,33,351,1594,29,-84
975,481343_101534,125932299,52,351,265,25,-80
3053,481410_101465,17854861,95,158,1848,26,-96
1015,481336_101540,125932299,3,348,272,25,-107
1020,481366_101505,125890571,329,351,272,25,-108
2413,481374_101515,17854861,51,349,627,26,-113
3263,481411_101471,125890330,229,170,2950,32,-116
2229,481396_101488,125870872,58,4,536,45,-109
3182,481417_101446,17854861,102,163,2287,26,-113
2665,481392_101510,125890571,339,346,878,25,-111
352,481350_101516,17854861,358,356,147,26,-96
1000,481384_101485,125870872,72,25,269,45,-98
1189,481357_101488,125890571,77,6,303,25,-108
2003,481342_101487,125890571,129,160,452,25,-108
2312,481354_101518,125932299,102,152,574,25,-116
1033,481359_101510,125931787,63,3,274,29,-102
3120,481264_101528,17854861,252,163,1968,26,-82
1052,481339_101539,125932299,19,348,278,25,-82
1790,481373_101498,125890571,1,348,406,25,-104
2988,481408_101432,125870872,117,171,1613,45,-103
1886,481384_101501,125870872,9,1,424,45,-104
3034,481240_101559,125890330,17,352,1760,32,-88
1373,481384_101496,125870872,23,3,334,45,-104
3314,481167_101574,125890330,19,351,3483,32,-103
790,481382_101491,125870872,39,9,231,45,-97
1416,481375_101501,125870872,339,3,340,45,-112
1096,481385_101486,125870872,67,17,287,45,-98
536,481340_101532,125932299,56,357,182,25,-90
2935,481275_101545,125932299,270,75,1383,25,-92
648,481360_101507,125890571,298,359,204,25,-107
2748,481288_101535,125932299,262,153,1038,25,-92
1353,481346_101525,125932299,92,115,331,25,-93
961,481334_101540,125932299,352,348,263,25,-116
2508,481383_101510,125890571,334,347,681,25,-103
1702,481299_101552,125890330,19,355,389,32,-97
3348,481440_101443,125890330,230,170,3917,32,-106
3056,481370_101440,125931787,131,168,1850,29,-98
1973,481392_101487,125870872,61,7,444,45,-111
2514,481366_101532,17854861,11,348,685,26,-113
2555,481338_101528,125890330,234,166,745,32,-123
903,481365_101505,125890571,327,351,252,25,-106
1975,481363_101521,17854861,27,349,445,26,-88
1606,481363_101508,17854861,69,357,372,26,-94
1060,481354_101520,17854861,6,351,279,26,-100
1446,481320_101537,125932299,285,358,345,25,-95
1618,481350_101486,125890571,105,151,374,25,-97
1581,481387_101494,125870872,35,3,366,45,-94
2269,481375_101513,125890571,320,348,555,25,-109
643,481340_101534,125932299,44,352,204,25,-104
2163,481393_101496,125870872,37,1,511,45,-101
529,481376_101494,125870872,356,9,180,45,-80
3321,481205_101646,125890330,51,351,3517,32,-98
3349,481195_101662,125890330,53,351,3962,32,-90
3106,481337_101434,125931787,157,169,1938,29,-93
2720,481389_101511,17854861,60,349,964,26,-107
857,481378_101496,125870872,1,5,244,45,-99
970,481344_101530,125932299,72,1,264,25,-109
1748,481359_101497,125870872,274,53,398,45,-116
346,481360_101504,125890571,313,359,145,25,-98
120,481371_101490,125870872,294,54,85,45,-96
1982,481392_101486,125870872,64,8,446,45,-94
1029,481304_101547,125890330,358,357,274,32,-93
30,481373_101487,125870872,126,100,48,45,-90
292,481357_101505,125890571,283,30,131,25,-95
3109,481411_101460,17854861,98,160,1946,26,-92
2765,481417_101502,125870872,41,358,1081,45,-109
2556,481396_101467,125870872,101,158,745,45,-102
1827,481365_101512,17854861,56,352,412,26,-103
2401,481373_101518,17854861,44,349,622,26,-104
722,481340_101535,125932299,39,351,219,25,-88
173,481317_101553,125890330,118,139,102,32,-107
2273,481370_101518,17854861,42,349,556,26,-100
2357,481371_101520,17854861,39,349,595,26,-100
1298,481361_101509,17854861,67,357,322,26,-99
2711,481335_101547,125931787,311,352,949,29,-92
91,481373_101490,125870872,335,35,74,45,-91
2639,481346_101477,17854861,151,164,848,26,-114
1268,481302_101551,125890330,16,357,317,32,-99
3167,481365_101597,125931787,341,350,2197,29,-66
2129,481394_101490,125870872,53,3,493,45,-106
2658,481391_101512,125890571,335,346,871,25,-106
1703,481324_101543,125932299,311,348,389,25,-104
2038,481374_101493,125890571,16,348,461,25,-98
738,481354_101517,125931787,17,357,222,29,-95
1745,481382_101501,125870872,4,1,397,45,-115
2339,481381_101500,125890571,354,347,587,25,-103
608,481314_101557,125890330,87,72,197,32,-101
1205,481368_101496,125890571,12,349,305,25,-110
1887,481320_101542,125932299,299,349,425,25,-92
2259,481357_101478,125890571,80,1,552,25,-111
452,481378_101492,125870872,19,11,167,45,-94
585,481352_101517,125931787,7,358,192,29,-90
52,481335_101530,125932299,60,30,61,25,-96
1807,481359_101523,17854861,14,349,409,26,-101
3075,481340_101436,125931787,155,169,1881,29,-89
858,481305_101549,125890330,8,358,245,32,-96
926,481358_101513,125931787,48,359,256,29,-106
2155,481369_101510,125931787,62,357,504,29,-96
100,481356_101497,125890571,72,39,79,25,-106
444,481366_101487,125870872,235,149,165,45,-94
3039,481295_101467,125932299,196,162,1792,25,-128
234,481358_101496,125890571,51,5,117,25,-93
483,481378_101483,125870872,100,122,172,45,-101
2560,481295_101526,125890330,321,354,753,32,-87
2694,481385_101499,17854861,77,353,921,26,-104
2862,481294_101503,17854861,232,164,1244,26,-104
1762,481372_101505,125890571,337,348,400,25,-109
1930,481358_101525,17854861,7,349,434,26,-94
1642,481371_101505,125890571,336,349,378,25,-96
2833,481332_101556,17854861,310,347,1185,26,-89
2870,481295_101496,125931787,224,168,1261,29,-108
1544,481361_101497,125870872,278,36,362,45,-112
1078,481367_101496,125890571,14,350,283,25,-100
2562,481321_101579,125890330,109,164,754,32,-109
2691,481392_101486,125890571,16,346,911,25,-116
3153,481329_101419,125890571,102,162,2119,25,-135
1673,481359_101485,125890571,71,356,384,25,-108
515,481354_101514,125931787,34,1,178,29,-94
3058,481412_101519,125932299,82,348,1852,25,-108
1176,481360_101509,125931787,67,4,300,29,-94
1037,481357_101517,17854861,27,352,275,26,-88
3143,481376_101580,125890571,279,349,2058,25,-123
1779,481362_101485,125890571,61,352,404,25,-107
1668,481299_101549,125890330,8,355,383,32,-93
399,481345_101505,17854861,170,156,156,26,-81
978,481365_101506,125890571,322,351,265,25,-108
2125,481375_101492,125890571,17,348,492,25,-90
1663,481336_101522,125931787,285,6,382,29,-97
433,481360_101495,125890571,42,356,163,25,-90
410,481362_101498,125890571,12,354,158,25,-102
308,481320_101546,125890330,228,151,136,32,-99
421,481379_101490,125870872,38,15,160,45,-89
560,481355_101509,17854861,71,11,187,26,-105
2595,481377_101527,17854861,32,348,798,26,-89
388,481352_101515,17854861,18,356,154,26,-101
2881,481296_101492,125931787,220,168,1273,29,-82
2351,481372_101517,17854861,46,349,593,26,-106
1569,481361_101518,17854861,32,350,366,26,-89
564,481326_101534,125932299,289,5,188,25,-107
3192,481415_101533,125890330,199,170,2331,32,-90
2888,481415_101454,125870872,98,161,1288,45,-115
2811,481419_101505,125870872,39,357,1151,45,-110
2236,481379_101500,125890571,354,347,541,25,-102
1834,481326_101545,125932299,321,347,414,25,-77
2311,481376_101513,125890571,321,348,573,25,-104
183,481355_101504,125890571,261,117,104,25,-107
155,481344_101513,125931787,277,67,96,29,-92
169,481369_101488,125870872,247,124,99,45,-109
3174,481274_101600,125932299,304,344,2221,25,-106
2256,481371_101509,17854861,64,352,551,26,-100
2520,481329_101489,17854861,190,163,690,26,-102
500,481363_101501,125890571,347,353,175,25,-102
2616,481390_101508,125890571,341,346,820,25,-111
2386,481371_101520,125890571,302,349,615,25,-88
2683,481356_101546,17854861,343,347,904,26,-81
409,481354_101511,17854861,57,3,158,26,-114
1898,481340_101514,125932299,137,158,427,25,-117
891,481343_101520,125931787,305,1,251,29,-84
701,481338_101511,17854861,243,151,214,26,-90
2803,481407_101455,125870872,103,165,1136,45,-121
406,481377_101483,125870872,106,131,157,45,-101
2840,481294_101506,125890330,306,353,1194,32,-89
1582,481356_101523,17854861,5,350,367,26,-105
2048,481375_101495,125890571,9,348,466,25,-103
3185,481318_101457,125890330,278,356,2313,32,-105
177,481356_101504,125890571,274,69,103,25,-102
3262,481348_101436,125890330,264,165,2936,32,-127
2734,481335_101535,125890571,235,162,997,25,-104
3063,481273_101482,17854861,219,164,1859,26,-98
2964,481401_101543,125931787,29,351,1480,29,-103
2041,481320_101544,125932299,303,348,463,25,-95
1331,481369_101496,125890571,11,349,327,25,-116
1341,481345_101536,125932299,48,349,329,25,-101
1126,481322_101536,125932299,286,0,292,25,-102
2946,481400_101540,125931787,31,351,1421,29,-106
630,481336_101537,125932299,9,350,202,25,-102
2380,481307_101536,125932299,269,96,612,25,-86
3342,481150_101560,125890330,13,351,3830,32,-108
7,481316_101549,125890330,246,97,34,32,-96
3284,481391_101450,125890330,243,169,3037,32,-87
678,481349_101519,17854861,342,353,210,26,-103
2635,481380_101525,125890571,308,347,843,25,-93
294,481338_101531,125932299,59,4,132,25,-105
1624,481362_101517,17854861,37,350,375,26,-88
276,481338_101529,125932299,78,36,128,25,-106
2322,481323_101517,17854861,255,156,580,26,-90
1459,481362_101513,125931787,51,357,346,29,-100
1980,481364_101484,125890571,57,350,446,25,-106
2394,481374_101512,17854861,57,350,619,26,-95
2202,481392_101499,125870872,29,0,527,45,-107
1116,481357_101518,125931787,23,356,290,29,-88
1098,481350_101522,17854861,343,351,288,26,-107
1260,481386_101485,125870872,70,19,314,45,-96
1916,481363_101520,17854861,30,349,431,26,-83
187,481337_101530,125932299,67,18,105,25,-104
2258,481373_101515,125890571,313,348,551,25,-105
1022,481382_101481,125870872,95,117,272,45,-104
963,481359_101490,125890571,65,358,263,25,-107
2330,481317_101548,125932299,304,347,584,25,-87
1201,481303_101553,125890330,26,357,305,32,-94
349,481367_101489,125870872,254,127,146,45,-113
1833,481299_101543,125890330,349,355,414,32,-113
2044,481384_101503,125870872,5,0,464,45,-116
2305,481371_101517,125931787,45,354,571,29,-103
1106,481324_101538,125932299,299,353,289,25,-93
2348,481380_101507,125890571,338,347,591,25,-105
2927,481288_101501,125890330,309,353,1367,32,-99
606,481364_101500,125890571,354,352,196,25,-96
2220,481370_101514,17854861,52,350,532,26,-118
2628,481391_101507,125890571,343,346,837,25,-117
715,481335_101538,125932299,1,349,218,25,-111
623,481363_101496,125890571,23,352,200,25,-102
2015,481372_101490,125890571,26,348,455,25,-107
1884,481365_101515,125931787,46,355,424,29,-87
3361,481284_101707,125932299,328,343,4582,25,-107
2321,481377_101512,125890571,325,347,579,25,-87
1674,481359_101496,125870872,271,76,384,45,-103
3311,481312_101667,125932299,335,343,3473,25,-128
3250,481411_101475,125890330,228,170,2884,32,-125
756,481376_101496,125870872,350,6,225,45,-100
2582,481349_101554,125890330,182,168,781,32,-88
1269,481345_101535,125932299,51,350,317,25,-101
157,481316_101553,125890330,103,121,97,32,-96
2762,481387_101533,125931787,31,351,1073,29,-100
968,481306_101555,125890330,40,0,264,32,-87
734,481354_101517,17854861,17,353,221,26,-98
1933,481322_101544,125932299,308,348,435,25,-94
2790,481304_101506,125890330,294,354,1118,32,-98
1798,481363_101518,125931787,35,355,407,29,-93
2441,481383_101503,125890571,348,347,638,25,-99
2630,481388_101485,125890571,20,346,838,25,-112
3237,481399_101417,17854861,120,164,2636,26,-96
1131,481362_101490,125890571,52,352,292,25,-107
1566,481351_101525,17854861,344,350,366,26,-89
603,481341_101529,125932299,77,17,196,25,-113
229,481360_101498,125890571,18,358,116,25,-100
56,481374_101489,125870872,9,41,62,45,-87
1223,481358_101518,125931787,26,356,308,29,-88
35,481354_101499,125890571,135,129,50,25,-104
458,481350_101517,17854861,354,354,169,26,-99
2729,481332_101475,125870872,223,171,995,45,-114
1250,481359_101517,17854861,32,351,314,26,-93
1456,481360_101518,17854861,30,350,346,26,-90
142,481329_101531,125932299,280,52,92,25,-105
1584,481370_101502,125870872,319,4,367,45,-106
2036,481296_101553,125890330,20,355,461,32,-113
2373,481317_101549,125932299,305,347,604,25,-82
357,481361_101497,125890571,23,355,148,25,-112
1878,481337_101546,125932299,0,346,423,25,-116
152,481332_101526,125932299,173,147,95,25,-92
981,481335_101540,125932299,358,348,266,25,-110
2095,481376_101496,125890571,6,347,483,25,-103
1791,481373_101502,125890571,348,348,406,25,-101
2190,481320_101547,125932299,308,347,523,25,-115
830,481326_101537,125932299,303,353,240,25,-98
1751,481371_101493,125890571,19,348,398,25,-107
253,481337_101527,125932299,101,125,123,25,-82
3151,481392_101423,125890571,60,346,2104,25,-91
267,481320_101552,125890330,157,155,126,32,-99
2399,481377_101515,125890571,319,348,621,25,-111
1072,481361_101510,125890571,294,357,281,25,-129
1009,481325_101543,125890330,224,161,271,32,-89
1114,481380_101497,125870872,7,4,289,45,-99
1408,481339_101522,17854861,294,356,339,26,-116
159,481358_101503,125890571,306,10,97,25,-105
1445,481361_101516,125931787,39,356,344,29,-92
2787,481305_101506,125890330,293,355,1112,32,-99
1728,481372_101496,125890571,8,348,393,25,-100
2773,481401_101513,125890571,338,346,1098,25,-96
11,481316_101550,125890330,121,104,37,32,-97
1195,481360_101508,125931787,71,7,304,29,-91
2664,481384_101502,17854861,73,351,877,26,-91
2914,481397_101539,125931787,30,351,1348,29,-109
2390,481316_101574,125890330,100,155,618,32,-108
668,481380_101483,125870872,91,98,207,45,-109
1905,481321_101543,125932299,303,348,429,25,-93
2859,481392_101538,125931787,29,351,1238,29,-104
370,481362_101500,125890571,355,354,150,25,-94
98,481374_101490,125870872,356,30,78,45,-89
3318,481428_101455,125890330,230,170,3510,32,-107
2400,481381_101508,125890571,337,347,621,25,-110
2274,481343_101481,125890571,117,159,557,25,-96
273,481375_101492,125870872,356,15,127,45,-98
218,481313_101553,125890330,63,25,113,32,-101
2573,481385_101486,125890571,20,346,765,25,-95
3136,481413_101416,125870872,120,172,2020,45,-111
3008,481374_101565,125890571,280,349,1682,25,-90
356,481341_101512,17854861,253,137,148,26,-92
2251,481371_101511,17854861,59,351,549,26,-117
2070,481375_101494,125890571,12,348,473,25,-97
681,481376_101480,125870872,126,155,210,45,-108
1380,481345_101524,125931787,320,356,335,29,-83
1987,481365_101518,17854861,38,350,448,26,-103
1379,481345_101524,17854861,320,351,335,26,-87
1332,481369_101504,125890571,338,349,327,25,-110
415,481329_101535,125932299,312,356,159,25,-103
871,481347_101501,17854861,149,159,247,26,-96
1661,481372_101501,125890571,351,348,381,25,-112
1497,481388_101486,125870872,65,12,355,45,-94
1457,481360_101518,125931787,30,355,346,29,-92
1338,481386_101483,125870872,78,32,328,45,-98
827,481383_101487,125870872,62,18,239,45,-93
716,481339_101515,17854861,268,99,218,26,-89
2739,481385_101531,125931787,32,351,1008,29,-101
1075,481359_101508,17854861,72,4,282,26,-96
2933,481398_101540,125931787,30,351,1381,29,-98
2323,481326_101552,125932299,327,345,581,25,-103
2602,481388_101512,125890571,334,346,807,25,-125
948,481358_101508,17854861,73,6,260,26,-107
2985,481297_101475,125932299,198,162,1596,25,-112
1892,481362_101521,125931787,25,354,426,29,-73
2589,481302_101544,125932299,280,353,792,25,-84
1095,481359_101489,125890571,67,357,287,25,-104
1945,481391_101483,125870872,73,16,437,45,-104
512,481356_101493,125890571,79,28,177,25,-115
2769,481418_101500,125870872,44,358,1088,45,-114
3187,481418_101445,17854861,102,163,2321,26,-112
1471,481370_101504,125890571,339,349,349,25,-104
427,481358_101494,125890571,61,3,162,25,-99
1721,481364_101513,17854861,52,352,392,26,-104
579,481339_101511,125931787,242,152,191,29,-78
2714,481380_101534,125931787,24,351,954,29,-94
2855,481301_101502,125890330,297,354,1232,32,-102
3206,481248_101487,17854861,227,165,2366,26,-79
796,481364_101495,125890571,25,351,233,25,-107
156,481312_101551,125890330,33,14,97,32,-104
81,481371_101489,125870872,280,77,70,45,-109
2434,481375_101518,125890571,311,348,636,25,-121
437,481339_101527,125932299,94,112,164,25,-109
1193,481328_101541,125932299,322,348,304,25,-102
307,481310_101548,125890330,356,4,136,32,-73
691,481356_101513,125931787,45,1,212,29,-104
1171,481366_101493,125890571,29,350,299,25,-108
1957,481297_101545,125890330,356,355,442,32,-97
1715,481359_101522,17854861,16,349,391,26,-105
2648,481380_101526,125890571,307,347,862,25,-89
2680,481341_101522,125890330,237,167,902,32,-94
2208,481370_101513,17854861,54,350,529,26,-113
2757,481309_101566,125932299,311,345,1061,25,-96
2825,481422_101500,125870872,45,358,1176,45,-101
3339,481153_101553,125890330,11,351,3753,32,-107
64,481357_101498,125890571,45,17,65,25,-97
2389,481372_101520,17854861,40,349,617,26,-105
1289,481369_101497,125890571,7,349,320,25,-106
182,481355_101496,125890571,89,86,104,25,-112
1083,481359_101514,17854861,44,353,284,26,-98
450,481354_101513,17854861,41,357,167,26,-96
1617,481346_101538,125932299,43,348,374,25,-102
1187,481337_101541,125932299,6,347,303,25,-107
1553,481388_101484,125870872,73,18,364,45,-102
847,481371_101497,125870872,319,9,242,45,-101
3021,481400_101424,125870872,126,172,1713,45,-91
2012,481296_101551,125890330,14,355,454,32,-123
1727,481361_101520,125931787,26,354,393,29,-80
3358,481283_101706,125932299,328,343,4563,25,-111
3140,481364_101481,125890330,245,168,2044,32,-109
1059,481352_101521,125931787,355,355,279,29,-86
774,481356_101515,17854861,34,353,229,26,-108
385,481326_101530,125932299,261,124,154,25,-109
250,481334_101525,125932299,144,149,122,25,-109
254,481343_101508,17854861,208,152,123,26,-88
284,481360_101503,125890571,321,359,129,25,-99
3312,481311_101667,125932299,335,343,3476,25,-109
2841,481407_101505,125890571,349,346,1194,25,-105
1936,481386_101500,125870872,16,1,435,45,-110
1011,481358_101515,17854861,38,353,271,26,-90
1895,481374_101500,125890571,354,348,426,25,-104
2667,481380_101527,125890571,306,347,881,25,-88
209,481348_101515,125931787,341,6,110,29,-111
2750,481368_101540,125890571,282,351,1042,25,-124
2039,481360_101525,17854861,12,349,462,26,-107
3255,481410_101472,125890330,229,170,2916,32,-105
2139,481377_101498,125890571,0,347,498,25,-105
840,481365_101496,125890571,18,351,241,25,-103
3357,481287_101706,125932299,329,343,4541,25,-122
2209,481312_101539,125932299,279,358,530,25,-104
2365,481373_101514,17854861,53,350,601,26,-111
2462,481372_101521,125890571,302,349,649,25,-93
1017,481356_101518,17854861,20,351,272,26,-90
2472,481326_101555,125932299,329,345,653,25,-82
2419,481372_101520,125890571,304,349,629,25,-95
3346,481439_101445,125890330,230,170,3866,32,-104
2997,481295_101474,125932299,199,162,1641,25,-116
710,481382_101488,125870872,57,16,216,45,-88
2345,481350_101477,125890571,97,149,590,25,-103
1227,481303_101545,125890330,350,356,310,32,-120
899,481355_101490,125890571,86,57,252,25,-111
1809,481364_101516,17854861,43,350,409,26,-85
951,481333_101540,125932299,347,348,261,25,-121
278,481355_101505,125890571,261,119,128,25,-112
1143,481303_101551,125890330,17,357,294,32,-87
2873,481354_101576,125932299,10,344,1262,25,-116
628,481351_101518,17854861,357,353,201,26,-95
1587,481363_101509,17854861,66,356,368,26,-108
306,481346_101516,17854861,317,1,135,26,-103
29,481357_101501,125890571,324,22,48,25,-100
1621,481358_101522,125931787,13,354,375,29,-103
0,481356_101500,125890571,356,52,27,25,-102
2823,481356_101488,125932299,134,161,1174,25,-82
3216,481283_101587,125931787,289,352,2416,29,-91
2282,481397_101490,125870872,54,2,562,45,-96
946,481326_101538,125932299,306,352,260,25,-103
2626,481390_101490,125890571,11,346,833,25,-96
1358,481380_101499,125870872,2,2,331,45,-101
1722,481364_101513,125931787,52,356,392,29,-104
2007,481383_101503,125870872,3,0,452,45,-109
1041,481367_101503,125890571,340,350,275,25,-101
245,481312_101546,125890330,327,9,121,32,-89
718,481315_101558,125890330,94,118,219,32,-109
2451,481304_101526,125890330,306,355,643,32,-94
61,481330_101530,125932299,270,88,65,25,-107
2230,481354_101538,125932299,54,347,537,25,-98
1598,481369_101508,125890571,323,349,370,25,-116
2060,481366_101518,125931787,39,354,470,29,-79
772,481357_101510,17854861,64,1,228,26,-89
1774,481364_101515,125931787,45,355,402,29,-97
1364,481387_101486,125870872,66,14,332,45,-97
1723,481365_101487,125890571,49,350,392,25,-120
1386,481333_101543,125932299,346,347,336,25,-117
1531,481357_101522,17854861,11,350,360,26,-104
1773,481357_101484,125890571,79,4,402,25,-100
296,481310_101550,125890330,16,5,133,32,-75
573,481373_101495,125870872,331,10,189,45,-92
535,481362_101504,125890571,323,354,181,25,-101
3330,481431_101452,125890330,230,170,3612,32,-116
3071,481341_101436,125931787,154,169,1879,29,-95
663,481353_101517,125931787,13,358,206,29,-97
372,481339_101529,125932299,78,28,151,25,-104
2999,481422_101524,125890571,334,345,1647,25,-96
928,481379_101496,125870872,6,5,256,45,-95
562,481376_101481,125870872,123,151,187,45,-105
634,481364_101502,125890571,341,352,202,25,-105
1736,481301_101541,125890330,340,355,396,32,-97
3186,481420_101447,17854861,100,162,2319,26,-92
2133,481319_101545,125932299,303,348,497,25,-90
2951,481375_101566,125890330,174,169,1434,32,-90
1178,481355_101488,125890571,86,48,301,25,-104
1868,481357_101525,125931787,4,353,421,29,-107
1486,481383_101498,125870872,14,2,352,45,-104
1119,481303_101550,125890330,12,357,291,32,-94
2194,481316_101544,125932299,295,349,526,25,-87
1055,481359_101513,17854861,49,354,278,26,-99
131,481313_101547,125890330,328,15,88,32,-94
2788,481403_101492,125890571,4,346,1113,25,-101
2638,481294_101522,125890330,318,353,846,32,-85
66,481330_101529,125932299,248,122,66,25,-88
2850,481400_101516,17854861,54,348,1225,26,-109
2612,481317_101528,17854861,270,87,819,26,-87
2047,481333_101524,125931787,283,5,466,29,-80
1485,481365_101489,125890571,44,350,352,25,-117
1005,481380_101496,125870872,10,4,270,45,-100
1228,481346_101530,125932299,72,358,310,25,-111
1493,481361_101517,17854861,36,351,354,26,-91
2298,481380_101497,125890571,2,347,569,25,-91
1913,481373_101494,125890571,14,348,430,25,-121
311,481328_101533,125932299,293,9,137,25,-85
2884,481396_101535,17854861,34,347,1278,26,-100
2851,481424_101501,125870872,45,357,1227,45,-120
331,481338_101532,125932299,50,359,140,25,-82
2436,481372_101522,17854861,36,348,637,26,-93
2669,481409_101499,125870872,42,358,882,45,-100
260,481350_101515,17854861,3,357,125,26,-88
3274,481311_101388,125890571,106,163,2987,25,-124
2141,481356_101529,125931787,355,353,499,29,-90
1926,481370_101511,125890571,317,349,433,25,-103
3244,481317_101637,125932299,335,343,2713,25,-109
1643,481361_101498,125870872,281,26,379,45,-120
2631,481388_101515,125890571,329,346,838,25,-108
1529,481364_101488,125890571,50,351,359,25,-112
1817,481373_101503,125890571,344,348,410,25,-129
2218,481321_101548,125932299,312,346,532,25,-83
478,481339_101533,125932299,46,355,172,25,-85
600,481325_101533,125932299,280,22,195,25,-98
778,481357_101512,125931787,52,1,229,29,-107
921,481348_101521,17854861,334,352,256,26,-101
1848,481370_101490,125890571,30,348,417,25,-123
3219,481404_101429,125931787,114,168,2432,29,-78
1097,481331_101541,125932299,336,348,288,25,-114
702,481363_101495,125890571,28,352,214,25,-113
54,481373_101486,125870872,141,122,61,45,-95
1138,481349_101490,125890571,116,154,293,25,-117
2117,481394_101487,125870872,61,6,490,45,-100
2934,481381_101433,125870872,141,172,1382,45,-96
725,481365_101500,125890571,354,351,219,25,-100
20,481334_101529,125932299,86,85,44,25,-112
1383,481370_101501,125890571,350,349,335,25,-112
2088,481368_101511,17854861,59,352,480,26,-117
2674,481343_101564,125932299,1,344,894,25,-106
1047,481344_101533,125932299,58,352,277,25,-110
2392,481362_101476,125890571,70,351,619,25,-108
2215,481370_101508,17854861,67,353,531,26,-95
831,481350_101520,17854861,346,352,240,26,-117
312,481332_101535,125932299,339,354,137,25,-89
1824,481331_101546,125932299,339,346,412,25,-90
59,481353_101500,125890571,174,141,64,25,-100
2565,481349_101541,17854861,332,348,757,26,-76
1796,481360_101522,125931787,18,354,407,29,-102
3070,481409_101462,17854861,97,160,1878,26,-96
246,481315_101554,125890330,90,93,121,32,-94
1866,481350_101484,125890571,102,151,421,25,-111
1274,481360_101488,125890571,64,355,318,25,-119
2178,481378_101499,125890571,357,347,519,25,-104
2923,481406_101516,17854861,55,347,1363,26,-105
3079,481254_101599,125890330,49,352,1888,32,-108
369,481359_101505,125890571,300,3,150,25,-91
3332,481424_101443,125890330,234,170,3655,32,-107
781,481306_101547,125890330,356,359,230,32,-80
2422,481354_101514,125932299,109,156,631,25,-89
397,481327_101533,125932299,288,13,156,25,-102
533,481355_101511,17854861,57,1,181,26,-106
192,481351_101513,17854861,29,2,106,26,-109
79,481375_101487,125870872,72,70,69,45,-80
614,481341_101531,125932299,64,0,198,25,-109
3191,481414_101441,17854861,105,163,2331,26,-98
1319,481355_101487,125890571,86,44,326,25,-111
1623,481360_101520,125931787,24,354,375,29,-86
550,481339_101534,125932299,40,353,185,25,-91
1655,481323_101542,125932299,306,349,381,25,-93
2123,481368_101515,17854861,48,350,491,26,-118
2082,481393_101492,125870872,47,2,479,45,-114
2979,481426_101449,125870872,95,159,1563,45,-101
2182,481390_101501,125870872,22,0,520,45,-111
1611,481359_101521,17854861,19,350,373,26,-93
2439,481329_101530,125931787,286,359,638,29,-80
432,481353_101494,125890571,105,138,163,25,-106
42,481331_101531,125932299,302,31,56,25,-86
2336,481371_101519,17854861,41,349,586,26,-110
277,481355_101495,125890571,88,81,128,25,-110
1396,481368_101493,125890571,24,349,337,25,-93
1136,481325_101539,125932299,305,351,293,25,-97
147,481351_101510,17854861,68,29,93,26,-99
2195,481352_101496,125870872,262,143,526,45,-120
1882,481361_101522,17854861,21,349,424,26,-87
890,481313_101559,125890330,84,48,251,32,-112
2374,481373_101515,17854861,51,349,604,26,-110
226,481369_101490,125870872,273,81,115,45,-108
178,481372_101484,125870872,162,148,103,45,-103
571,481363_101497,125890571,16,352,189,25,-104
2261,481371_101513,17854861,55,350,552,26,-114
468,481340_101512,17854861,251,142,171,26,-90
125,481318_101547,125890330,236,137,87,32,-101
1360,481361_101495,125870872,272,72,332,45,-104
947,481350_101491,125890571,114,152,260,25,-107
2014,481351_101493,125931787,137,165,455,29,-89
2246,481393_101499,125870872,30,0,546,45,-103
3014,481374_101574,17854861,352,346,1699,26,-93
136,481335_101527,125932299,116,134,89,25,-109
833,481354_101518,125931787,13,357,240,29,-95
1333,481328_101542,125932299,324,348,328,25,-99
301,481342_101513,17854861,265,108,134,26,-91
1026,481355_101519,17854861,13,351,273,26,-95
1113,481368_101501,125890571,350,350,289,25,-108
1330,481361_101508,17854861,71,0,327,26,-101
1108,481353_101521,125931787,359,355,289,29,-89
1571,481362_101516,17854861,40,351,366,26,-95
261,481352_101513,17854861,34,0,125,26,-99
1589,481300_101546,125890330,357,355,369,32,-100
3170,481411_101445,17854861,105,163,2210,26,-92
3293,481429_101620,125932299,32,343,3174,25,-79
1137,481345_101532,125932299,63,354,293,25,-96
828,481306_101553,125890330,30,359,240,32,-93
2343,481372_101518,125890571,306,348,589,25,-93
2891,481352_101578,125932299,7,344,1292,25,-85
1200,481385_101492,125870872,39,6,304,45,-106
168,481352_101498,125890571,142,147,99,25,-106
320,481351_101515,17854861,11,357,138,26,-89
708,481350_101519,17854861,348,353,216,26,-101
