栅格ID,小区ID,天线水平倾斜角,天线垂直倾斜角,距离,天线高度,RSRP
2661,481404_101468,125870872,91,122,872,45,-119
1066,481365_101493,125890571,31,350,280,25,-112
693,481377_101495,125870872,359,7,212,45,-98
815,481325_101536,125932299,295,356,238,25,-102
3011,481414_101541,125890571,319,346,1695,25,-101
3067,481420_101544,125931787,35,351,1874,29,-83
1089,481366_101506,125890571,324,351,285,25,-103
1710,481351_101485,125890571,100,147,390,25,-133
1636,481389_101489,125870872,54,6,377,45,-107
3035,481447_101504,125870872,47,357,1760,45,-97
1390,481362_101488,125890571,56,352,336,25,-112
902,481365_101495,125890571,23,351,252,25,-107
1995,481334_101524,17854861,285,358,450,26,-90
746,481338_101537,125932299,21,349,224,25,-95
976,481363_101492,125890571,42,352,265,25,-114
949,481358_101508,125931787,73,12,260,29,-113
1860,481387_101498,125870872,23,1,419,45,-104
1317,481385_101494,125870872,32,4,325,45,-104
148,481313_101552,125890330,54,23,94,32,-91
283,481360_101497,125890571,28,357,129,25,-104
1191,481361_101511,125890571,291,357,303,25,-109
1050,481379_101497,125870872,3,4,277,45,-94
2456,481375_101513,17854861,55,350,644,26,-103
2822,481290_101504,125932299,225,161,1174,25,-96
1324,481305_101558,125890330,49,359,327,32,-96
3101,481414_101557,17854861,25,346,1927,26,-78
1680,481386_101497,125870872,24,2,385,45,-110
897,481305_101547,125890330,357,358,252,32,-115
2404,481374_101514,17854861,53,349,623,26,-103
553,481358_101507,125890571,285,13,185,25,-101
2536,481378_101510,125931787,61,354,711,29,-84
1523,481371_101501,125890571,351,349,358,25,-109
471,481359_101494,125890571,54,359,171,25,-97
769,481356_101491,125890571,80,24,227,25,-109
3042,481406_101463,17854861,98,160,1810,26,-101
2553,481285_101540,125890330,352,353,743,32,-116
2872,481303_101572,125932299,309,344,1262,25,-84
1527,481327_101543,125932299,321,348,359,25,-105
1352,481336_101519,125931787,276,29,331,29,-85
319,481337_101526,125932299,110,139,138,25,-103
25,481316_101548,125890330,269,90,47,32,-106
1107,481343_101536,125932299,43,349,289,25,-89
2005,481375_101498,125890571,0,348,452,25,-94
3000,481357_101576,125931787,338,351,1648,29,-115
2145,481365_101518,125890571,292,352,501,25,-108
